Keyword,Чистый запрос,Requests,Clear_Cards,Cards,Ratio,Rev_Price
картина на стену,нет,26884,3630,59246,0.4537690308206461,957
картина,нет,20336,6000,99270,0.20485544474665054,1197
постеры на стену,нет,18356,1805,20584,0.8917605907500972,377
постеры,poster art,16464,6000,94322,0.1745510061279447,355
картины на стену,нет,11808,3619,59030,0.20003388107741826,953
картины,нет,9408,6000,99270,0.0947718343910547,1197
панно на стену,нет,9344,-2,99546,0.09386615233158539,-2
модульная картина,нет,4156,3614,59785,0.0695157648239525,2283
постеры интерьерные,нет,4148,1415,56446,0.07348616376714028,554
постеры аниме,постеры аниме,3748,-2,57719,0.06493528993918814,-2
картина на стену большая,нет,2848,587,34822,0.08178737579691,2060
картина на холсте,"картины маслом на холсте
картины на холсте известных художников
пейзажи на холсте
рисунки на холсте абстракция",2844,4848,59085,0.04813404417364813,1471
алмазная картина,стоп,2724,5602,105717,0.025766905984846336,716
картина на кухню,"картины еда и напитки
картины для  еда и напитки
картины утро завтрак чай и кофе
завтрак кофе картины
картины для  фрукты и цветы
картина выпечка хлеба
хлебобулочные изделия ассортимент
картина натюрморт с едой
картины натюрморт с колбасой
натюрморт с яичницей
натюрморт с яичницей фото
деревенский натюрморт фото
фото натюрморты с откущенной яблокой
натюрморт с салом и хлебом живопись
натюрморт с грибами
натюрморт кухня",2112,63,58712,0.03597220329745197,1188
модульная картина на стену,нет,1908,1202,59707,0.031956052054198,1947
картины на кухню,"картины еда и напитки
картины для  еда и напитки
картины утро завтрак чай и кофе
завтрак кофе картины
картины для  фрукты и цветы
картина выпечка хлеба
хлебобулочные изделия ассортимент
картина натюрморт с едой
картины натюрморт с колбасой
натюрморт с яичницей
натюрморт с яичницей фото
деревенский натюрморт фото
фото натюрморты с откущенной яблокой
натюрморт с салом и хлебом живопись
натюрморт с грибами
натюрморт кухня",1884,60,59765,0.031523466912072286,1183
модульные картины,нет,1884,145,59820,0.03149448345035105,1958
мини постеры,"мини постеры скачать
мини постеры распечатать",1820,287,17483,0.10410112680890007,428
картина интерьерная,"модерн картины художников
интерьерная живопись пейзаж",1776,819,60614,0.029300161678820075,1435
картина стразами,нет,1692,548,57700,0.02932409012131716,762
картина по намерам,"картины по номерам на холсте абстракция
картины по номерам на холсте абстракция кандинский
картины по номерам на холсте абстракция
картина по номерам",1608,0,134416,0.011962861564099512,-1
картина модульная,нет,1436,3617,59776,0.02402301927194861,2282
картина алмазная,стоп,1408,5602,105708,0.013319710901729292,714
картины для  на стену современные,еда на кухне,1388,0,18379,0.07552097502584472,-1
картина алмазная мозаика,нет,1372,5234,57246,0.0239667400342382,890
картина из страз,нет,1356,106,57715,0.02349475872823356,482
интерьерные картины,"картинки городов мира
картинки природы
картинки абстракция красивые
красивые картинки графика
абстракция цветы
абстракция цветов живопись
природа и животные фото",1188,26,60614,0.01959943247434586,2196
картины на стену для интерьера,нет,1144,109,34477,0.033181541317400004,1427
аниме постеры,"аниме постеры
за гранью аниме постер
аниме вольный стиль
вольный стиль аниме арт
",1048,1398,57591,0.01819728777065861,299
картина на стену в спальню,нет,1004,67,34720,0.02891705069124424,1091
интерьерная картина,"картинки городов мира
картинки природы
картинки абстракция красивые
красивые картинки графика
абстракция цветы
абстракция цветов живопись
природа и животные фото",992,814,60630,0.01636153719280884,1445
постеры в детскую,"постеры в детскую для распечатки
милые постеры на стену распечатать
постеры животные в детскую для распечатки",988,164,59408,0.01663075680043092,406
картина на стекле,стоп,952,2270,58897,0.016163811399561946,1375
рамка для картины,стоп,920,634,5114,0.1798983183418068,993
песочная картина,стоп,896,344,4892,0.18315617334423548,899
картина мозаика,"мозаика пейзаж
мозаика цветы
",852,5242,32378,0.026314163938476742,1408
модульные картины на стену,нет,840,21,59706,0.014068937795196463,3278
постеры на стену эстетика,"постеры на стену эстетика
постеры на стену эстетика пинтерест
постеры на стену эстетика пинтерест инди кид
постеры на стену эстетика пинтерест распечатать",828,178,8126,0.10189515136598573,461
картины на холсте,"картины маслом на холсте
картины на холсте известных художников
пейзажи на холсте
рисунки на холсте абстракция",820,4846,59124,0.013869156349367431,1472
картина аниме,картина аниме,788,3817,34980,0.02252715837621498,1200
картина в спальню,нет,704,42,58863,0.01195997485687104,1305
постеры blackpink,постеры blackpink,696,1124,2023,0.3440434997528423,564
постеры на стену большие,плакаты на стену распечатать,688,163,34909,0.01970838465725171,454
